Municipality Code,Municipality Name,Registered Voters,Issued Envelopes,Valid Votes,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
573639,T¯tÏnice,269,162,162,"6,17 %","0,00 %","0,00 %","8,64 %","0,00 %","6,17 %","7,40 %","0,00 %","1,23 %","1,23 %","0,00 %","0,61 %","6,17 %","0,00 %","4,93 %","40,74 %","0,00 %","1,23 %","1,85 %","0,00 %","0,00 %","1,23 %","12,34 %","0,00 %"
573647,Tu¯,137,80,79,"7,59 %","0,00 %","0,00 %","10,12 %","0,00 %","10,12 %","7,59 %","2,53 %","1,26 %","2,53 %","0,00 %","0,00 %","5,06 %","0,00 %","2,53 %","30,37 %","0,00 %","1,26 %","0,00 %","0,00 %","1,26 %","0,00 %","17,72 %","0,00 %"
573655,⁄bislavice,341,252,249,"4,01 %","0,00 %","0,00 %","6,02 %","0,40 %","12,44 %","8,03 %","1,60 %","0,00 %","0,00 %","0,00 %","0,00 %","10,84 %","0,80 %","5,22 %","30,52 %","0,40 %","0,80 %","5,62 %","1,20 %","0,00 %","0,00 %","11,64 %","0,40 %"
573663,⁄drnice,249,152,152,"9,86 %","0,00 %","0,00 %","7,89 %","0,00 %","5,26 %","9,86 %","1,31 %","1,97 %","0,00 %","0,65 %","0,00 %","11,18 %","0,00 %","1,97 %","32,23 %","0,00 %","0,65 %","4,60 %","0,00 %","1,31 %","0,00 %","11,18 %","0,00 %"
573671,⁄hlejov,118,80,80,"11,25 %","0,00 %","2,50 %","7,50 %","0,00 %","18,75 %","15,00 %","1,25 %","0,00 %","2,50 %","0,00 %","0,00 %","6,25 %","0,00 %","3,75 %","15,00 %","0,00 %","0,00 %","5,00 %","0,00 %","0,00 %","0,00 %","11,25 %","0,00 %"
573680,⁄jezd pod Troskami,273,182,181,"6,62 %","0,00 %","0,00 %","4,41 %","0,00 %","9,39 %","9,94 %","1,10 %","3,86 %","1,65 %","0,00 %","0,00 %","16,02 %","0,00 %","2,76 %","26,51 %","0,55 %","0,00 %","2,76 %","0,00 %","1,10 %","0,55 %","11,60 %","1,10 %"
573698,⁄libice,222,133,130,"5,38 %","0,00 %","0,00 %","11,53 %","0,76 %","6,15 %","8,46 %","3,84 %","1,53 %","0,76 %","0,00 %","0,00 %","6,15 %","1,53 %","6,15 %","37,69 %","0,00 %","0,00 %","2,30 %","1,53 %","0,00 %","0,00 %","6,15 %","0,00 %"
573701,Valdice,1 844,1 099,1 092,"6,13 %","0,18 %","0,18 %","7,50 %","0,45 %","2,74 %","12,36 %","1,19 %","1,64 %","0,54 %","0,09 %","0,18 %","10,62 %","0,00 %","2,38 %","41,39 %","0,09 %","0,27 %","3,93 %","0,27 %","0,27 %","0,73 %","6,31 %","0,45 %"
573728,Veliö,153,100,99,"9,09 %","0,00 %","0,00 %","8,08 %","0,00 %","7,07 %","1,01 %","1,01 %","0,00 %","0,00 %","0,00 %","1,01 %","13,13 %","2,02 %","9,09 %","40,40 %","0,00 %","0,00 %","3,03 %","0,00 %","0,00 %","0,00 %","4,04 %","1,01 %"
573736,Vidochov,295,179,179,"8,93 %","0,55 %","0,00 %","3,35 %","0,55 %","10,61 %","5,58 %","1,67 %","1,11 %","2,79 %","0,00 %","0,00 %","14,52 %","0,00 %","3,35 %","32,40 %","0,00 %","0,00 %","1,67 %","1,67 %","0,00 %","2,79 %","8,37 %","0,00 %"
573752,VitinÏves,277,201,201,"8,95 %","0,99 %","0,00 %","4,47 %","0,00 %","4,47 %","11,44 %","0,49 %","0,99 %","0,00 %","0,00 %","0,00 %","8,95 %","0,00 %","2,98 %","34,82 %","0,49 %","1,99 %","5,97 %","1,49 %","0,49 %","0,00 %","9,45 %","1,49 %"
573761,Volanice,186,101,99,"8,08 %","1,01 %","0,00 %","4,04 %","0,00 %","4,04 %","13,13 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","5,05 %","0,00 %","6,06 %","49,49 %","0,00 %","0,00 %","2,02 %","1,01 %","0,00 %","1,01 %","5,05 %","0,00 %"
572128,Vrbice,119,75,74,"1,35 %","2,70 %","0,00 %","10,81 %","0,00 %","12,16 %","14,86 %","1,35 %","1,35 %","4,05 %","1,35 %","0,00 %","10,81 %","0,00 %","2,70 %","27,02 %","0,00 %","0,00 %","1,35 %","0,00 %","0,00 %","0,00 %","6,75 %","1,35 %"
573795,Vröce,177,87,87,"6,89 %","0,00 %","0,00 %","3,44 %","0,00 %","3,44 %","22,98 %","0,00 %","2,29 %","0,00 %","0,00 %","0,00 %","11,49 %","0,00 %","2,29 %","31,03 %","0,00 %","1,14 %","1,14 %","0,00 %","0,00 %","1,14 %","12,64 %","0,00 %"
549029,V¯esnÌk,73,49,49,"8,16 %","0,00 %","0,00 %","0,00 %","0,00 %","22,44 %","12,24 %","0,00 %","0,00 %","4,08 %","0,00 %","0,00 %","4,08 %","0,00 %","2,04 %","40,81 %","0,00 %","0,00 %","4,08 %","0,00 %","0,00 %","0,00 %","2,04 %","0,00 %"
573809,VysokÈ VeselÌ,694,336,336,"8,03 %","3,86 %","0,29 %","7,14 %","0,00 %","4,16 %","13,69 %","0,59 %","1,19 %","1,19 %","0,00 %","0,00 %","5,65 %","0,00 %","3,86 %","34,52 %","0,29 %","0,89 %","3,27 %","0,59 %","0,00 %","0,29 %","10,41 %","0,00 %"
549193,Z·mostÌ-Blata,101,69,67,"16,41 %","0,00 %","0,00 %","1,49 %","0,00 %","4,47 %","1,49 %","1,49 %","1,49 %","0,00 %","0,00 %","0,00 %","5,97 %","0,00 %","26,86 %","31,34 %","0,00 %","0,00 %","5,97 %","0,00 %","0,00 %","0,00 %","2,98 %","0,00 %"
573183,Zeleneck· Lhota,130,78,77,"1,29 %","0,00 %","0,00 %","2,59 %","2,59 %","3,89 %","12,98 %","2,59 %","0,00 %","0,00 %","0,00 %","0,00 %","18,18 %","0,00 %","3,89 %","33,76 %","0,00 %","2,59 %","2,59 %","0,00 %","0,00 %","0,00 %","11,68 %","1,29 %"
573825,éeleznice,985,651,649,"4,93 %","0,00 %","0,30 %","3,69 %","0,00 %","20,95 %","7,24 %","0,30 %","1,54 %","0,30 %","0,15 %","0,00 %","11,09 %","0,15 %","2,92 %","31,27 %","0,00 %","0,30 %","5,23 %","0,15 %","0,00 %","0,00 %","8,78 %","0,61 %"
573833,éeretice,211,120,120,"1,66 %","0,00 %","0,00 %","11,66 %","0,00 %","2,50 %","14,16 %","3,33 %","1,66 %","1,66 %","0,00 %","0,00 %","10,83 %","0,00 %","3,33 %","35,83 %","0,00 %","0,00 %","1,66 %","0,00 %","0,83 %","0,83 %","10,00 %","0,00 %"
573841,éidovice,101,51,51,"3,92 %","0,00 %","0,00 %","13,72 %","0,00 %","11,76 %","11,76 %","0,00 %","3,92 %","1,96 %","0,00 %","0,00 %","1,96 %","0,00 %","0,00 %","39,21 %","0,00 %","0,00 %","1,96 %","1,96 %","0,00 %","1,96 %","5,88 %","0,00 %"
573850,élunice,210,142,141,"10,63 %","0,00 %","0,00 %","13,47 %","0,00 %","6,38 %","9,92 %","1,41 %","0,00 %","0,00 %","0,00 %","0,00 %","9,92 %","0,00 %","0,70 %","29,07 %","0,00 %","0,00 %","7,09 %","1,41 %","0,00 %","1,41 %","8,51 %","0,00 %"
